time [ms]	Pressure [Hgmm]	illuminance [lux]
0.00 	 0.00 	 60.22
0.03 	 0.00 	 60.57
0.05 	 0.30 	 60.92
0.07 	 -0.10 	 60.68
0.10 	 0.20 	 60.45
0.12 	 0.30 	 59.98
0.15 	 0.30 	 59.63
0.17 	 0.30 	 60.10
0.20 	 0.20 	 60.45
0.23 	 -0.00 	 60.10
0.25 	 0.20 	 59.98
0.28 	 0.00 	 59.52
0.30 	 0.10 	 60.22
0.33 	 -0.10 	 60.33
0.35 	 -0.10 	 60.10
0.38 	 0.70 	 59.87
0.40 	 0.20 	 59.63
0.42 	 0.20 	 59.75
0.45 	 -0.10 	 59.98
0.47 	 0.10 	 60.45
0.50 	 0.10 	 60.33
0.53 	 -0.10 	 60.10
0.55 	 0.20 	 60.10
0.57 	 -0.10 	 59.75
0.60 	 0.20 	 60.57
0.62 	 0.30 	 60.92
0.65 	 0.30 	 60.57
0.68 	 0.50 	 60.45
0.70 	 0.10 	 59.87
0.72 	 0.00 	 59.98
0.75 	 0.30 	 60.68
0.78 	 0.10 	 60.92
0.80 	 0.00 	 60.92
0.82 	 0.30 	 60.68
0.85 	 0.30 	 60.22
0.88 	 0.50 	 59.98
0.90 	 0.40 	 60.45
0.93 	 -0.10 	 60.33
0.95 	 0.30 	 60.45
0.97 	 0.90 	 59.63
1.00 	 0.30 	 59.75
1.02 	 0.40 	 59.63
1.05 	 0.40 	 60.22
1.07 	 0.20 	 60.57
1.10 	 0.20 	 60.33
1.12 	 0.20 	 59.87
1.15 	 0.20 	 59.87
1.18 	 0.40 	 59.40
1.20 	 0.20 	 60.33
1.23 	 0.20 	 60.45
1.25 	 -0.10 	 60.22
1.27 	 -0.10 	 59.63
1.30 	 -0.10 	 59.63
1.32 	 -0.00 	 59.98
1.35 	 0.10 	 60.45
1.38 	 0.10 	 60.68
1.40 	 0.00 	 60.10
1.43 	 0.20 	 60.22
1.45 	 0.20 	 59.63
1.48 	 0.20 	 59.98
1.50 	 0.50 	 60.92
1.52 	 0.20 	 60.68
1.55 	 0.50 	 60.10
1.57 	 0.40 	 60.22
1.60 	 0.40 	 59.63
1.62 	 0.40 	 59.63
1.65 	 0.40 	 60.22
1.68 	 0.30 	 60.10
1.70 	 0.00 	 59.87
1.73 	 0.40 	 59.63
1.75 	 0.40 	 59.40
1.77 	 0.30 	 59.75
1.80 	 0.20 	 60.33
1.82 	 0.40 	 60.10
1.85 	 0.90 	 60.45
1.88 	 0.30 	 59.98
1.90 	 0.50 	 59.75
1.93 	 0.40 	 59.87
1.95 	 -0.10 	 60.68
1.98 	 0.40 	 60.33
2.00 	 0.30 	 60.22
2.02 	 0.10 	 59.87
2.05 	 0.10 	 59.63
2.08 	 0.20 	 59.98
2.10 	 0.20 	 60.33
2.12 	 0.30 	 60.33
2.15 	 0.30 	 60.22
2.17 	 0.30 	 59.63
2.20 	 -0.00 	 60.45
2.23 	 0.20 	 60.68
2.25 	 0.20 	 61.61
2.27 	 0.30 	 60.57
2.30 	 0.30 	 60.22
2.33 	 0.30 	 59.98
2.35 	 0.30 	 59.40
2.38 	 0.00 	 59.98
2.40 	 0.30 	 60.10
2.42 	 0.50 	 59.87
2.45 	 0.50 	 59.40
2.48 	 -0.10 	 59.52
2.50 	 0.10 	 59.98
2.52 	 0.10 	 60.45
2.55 	 0.10 	 60.68
2.58 	 0.10 	 60.22
2.60 	 0.20 	 59.87
2.62 	 0.20 	 59.40
2.65 	 0.20 	 59.40
2.67 	 0.20 	 60.10
2.70 	 0.20 	 60.68
2.73 	 0.10 	 59.87
2.75 	 0.20 	 59.63
2.77 	 -0.10 	 59.75
2.80 	 0.20 	 60.68
2.83 	 0.20 	 60.68
2.85 	 0.20 	 60.92
2.88 	 0.20 	 60.45
2.90 	 0.20 	 60.10
2.92 	 0.00 	 59.87
2.95 	 0.00 	 59.87
2.98 	 0.30 	 60.57
3.00 	 0.30 	 60.92
3.02 	 0.30 	 60.10
3.05 	 0.20 	 59.98
3.08 	 0.20 	 59.63
3.10 	 0.30 	 59.87
3.12 	 0.30 	 60.22
3.15 	 -0.10 	 59.87
3.17 	 0.20 	 59.98
3.20 	 0.30 	 59.17
3.23 	 0.30 	 59.28
3.25 	 0.10 	 59.75
3.27 	 0.20 	 60.22
3.30 	 0.20 	 60.10
3.33 	 -0.10 	 59.75
3.35 	 0.40 	 59.17
3.38 	 0.10 	 59.40
3.40 	 -0.10 	 59.87
3.42 	 -0.10 	 60.10
3.45 	 0.00 	 59.63
3.48 	 0.30 	 59.40
3.50 	 0.30 	 59.75
3.52 	 0.20 	 59.40
3.55 	 0.30 	 59.87
3.58 	 0.30 	 60.45
3.60 	 0.30 	 60.22
3.62 	 0.20 	 59.63
3.65 	 0.40 	 59.75
3.67 	 0.30 	 59.63
3.70 	 0.40 	 60.10
3.73 	 0.40 	 60.68
3.75 	 0.00 	 60.33
3.77 	 0.30 	 60.22
3.80 	 0.30 	 59.98
3.83 	 0.30 	 59.87
3.85 	 0.20 	 59.87
3.88 	 0.20 	 60.45
3.90 	 0.20 	 59.63
3.92 	 0.20 	 59.52
3.95 	 0.20 	 58.93
3.98 	 0.10 	 59.52
4.00 	 0.20 	 59.63
4.03 	 0.20 	 59.87
4.05 	 0.20 	 59.40
4.08 	 0.20 	 59.40
4.10 	 0.20 	 59.52
4.12 	 0.20 	 59.17
4.15 	 0.30 	 59.63
4.17 	 0.00 	 59.98
4.20 	 0.30 	 59.40
4.22 	 0.30 	 59.52
4.25 	 0.40 	 59.52
4.28 	 0.10 	 59.40
4.30 	 -0.10 	 60.10
4.33 	 -0.10 	 59.87
4.35 	 0.20 	 59.75
4.38 	 0.30 	 59.40
4.40 	 0.60 	 59.52
4.42 	 -0.10 	 59.63
4.45 	 0.30 	 60.45
4.47 	 -0.10 	 60.10
4.50 	 0.30 	 59.87
4.53 	 0.30 	 59.75
4.55 	 0.30 	 59.40
4.58 	 0.20 	 59.98
4.60 	 0.30 	 59.63
4.62 	 0.20 	 59.52
4.65 	 0.20 	 59.28
4.67 	 0.20 	 58.82
4.70 	 0.20 	 59.05
4.72 	 0.10 	 59.28
4.75 	 0.20 	 59.63
4.78 	 0.20 	 59.40
4.80 	 0.10 	 59.17
4.83 	 0.10 	 58.93
4.85 	 0.20 	 59.52
4.88 	 0.30 	 59.75
4.90 	 0.30 	 59.75
4.92 	 0.30 	 59.17
4.95 	 0.40 	 59.52
4.97 	 0.20 	 58.93
5.00 	 -0.10 	 59.17
5.03 	 0.30 	 59.40
5.05 	 0.30 	 59.87
5.08 	 0.20 	 59.63
5.10 	 1.80 	 59.40
5.12 	 0.30 	 58.82
5.15 	 3.10 	 58.47
5.17 	 0.30 	 60.10
5.20 	 5.00 	 58.23
5.22 	 0.30 	 59.52
5.25 	 4.70 	 58.00
5.28 	 0.20 	 58.82
5.30 	 4.70 	 58.82
5.33 	 0.20 	 59.05
5.35 	 4.40 	 59.05
5.38 	 0.10 	 58.12
5.40 	 4.30 	 58.82
5.42 	 0.60 	 56.60
5.45 	 4.10 	 57.77
5.47 	 0.20 	 59.40
5.50 	 4.20 	 58.12
5.53 	 0.30 	 58.93
5.55 	 4.40 	 57.65
5.58 	 0.40 	 58.58
5.60 	 4.40 	 58.23
5.62 	 0.50 	 58.82
5.65 	 4.20 	 58.93
5.67 	 0.30 	 58.00
5.70 	 4.20 	 58.70
5.72 	 0.50 	 57.65
5.75 	 4.00 	 59.17
5.78 	 1.90 	 59.75
5.80 	 3.90 	 58.23
5.83 	 3.50 	 58.35
5.85 	 3.10 	 58.35
5.88 	 3.00 	 58.23
5.90 	 3.00 	 58.47
5.92 	 2.90 	 59.40
5.95 	 2.80 	 59.28
5.97 	 3.00 	 58.93
6.00 	 3.00 	 58.82
6.03 	 2.90 	 58.47
6.05 	 3.30 	 59.28
6.08 	 3.20 	 59.28
6.10 	 3.00 	 58.70
6.12 	 2.90 	 58.00
6.15 	 3.20 	 57.88
6.17 	 3.20 	 58.00
6.20 	 3.70 	 58.35
6.22 	 3.90 	 58.58
6.25 	 4.10 	 58.47
6.28 	 4.20 	 58.35
6.30 	 4.20 	 58.35
6.33 	 4.40 	 58.00
6.35 	 4.60 	 58.47
6.38 	 5.10 	 58.70
6.40 	 5.00 	 58.47
6.42 	 5.20 	 58.35
6.45 	 5.60 	 58.00
6.47 	 5.40 	 58.47
6.50 	 5.50 	 59.05
6.53 	 6.00 	 58.93
6.55 	 6.20 	 58.47
6.58 	 6.50 	 58.47
6.60 	 6.70 	 58.47
6.62 	 6.90 	 58.82
6.65 	 7.20 	 59.05
6.67 	 7.40 	 59.28
6.70 	 7.60 	 59.28
6.72 	 8.00 	 58.82
6.75 	 8.20 	 58.82
6.78 	 8.60 	 58.93
6.80 	 9.10 	 59.75
6.83 	 9.20 	 59.40
6.85 	 9.60 	 59.17
6.88 	 9.90 	 59.52
6.90 	 10.40 	 58.70
6.92 	 9.60 	 59.05
6.95 	 11.20 	 59.40
6.97 	 9.30 	 59.17
7.00 	 12.10 	 57.88
7.03 	 9.50 	 58.58
7.05 	 12.70 	 57.77
7.08 	 10.00 	 59.05
7.10 	 13.30 	 58.70
7.12 	 10.30 	 59.05
7.15 	 13.90 	 58.70
7.17 	 10.60 	 58.00
7.20 	 14.30 	 58.82
7.22 	 10.70 	 58.12
7.25 	 14.70 	 60.22
7.28 	 11.30 	 59.75
7.30 	 14.90 	 57.53
7.33 	 11.40 	 58.70
7.35 	 15.00 	 58.35
7.38 	 11.70 	 59.17
7.40 	 15.10 	 58.93
7.42 	 11.80 	 59.05
7.45 	 15.70 	 59.05
7.47 	 11.90 	 58.47
7.50 	 16.10 	 58.47
7.53 	 12.40 	 58.82
7.55 	 15.80 	 60.45
7.58 	 12.90 	 59.98
7.60 	 16.40 	 58.12
7.62 	 13.20 	 59.40
7.65 	 16.60 	 58.82
7.67 	 13.30 	 59.87
7.70 	 16.80 	 59.40
7.72 	 13.40 	 59.40
7.75 	 17.30 	 59.05
7.78 	 13.70 	 58.58
7.80 	 17.50 	 58.47
7.83 	 14.20 	 58.23
7.85 	 17.70 	 59.28
7.88 	 14.20 	 58.12
7.90 	 18.00 	 57.42
7.92 	 14.60 	 58.93
7.95 	 18.20 	 58.00
7.97 	 14.70 	 59.63
8.00 	 18.10 	 58.70
8.03 	 14.80 	 58.93
8.05 	 18.70 	 58.82
8.07 	 15.10 	 58.00
8.10 	 18.40 	 59.05
8.12 	 15.40 	 58.82
8.15 	 19.20 	 59.87
8.18 	 15.40 	 57.77
8.20 	 19.00 	 57.65
8.22 	 15.70 	 59.52
8.25 	 19.40 	 58.58
8.28 	 15.50 	 59.87
8.30 	 19.70 	 58.93
8.32 	 15.80 	 59.17
8.35 	 19.70 	 59.28
8.38 	 16.10 	 58.82
8.40 	 20.10 	 59.75
8.43 	 16.20 	 59.28
8.45 	 20.10 	 60.10
8.47 	 16.70 	 58.35
8.50 	 20.20 	 58.23
8.53 	 16.80 	 60.10
8.55 	 20.20 	 58.93
8.57 	 17.00 	 59.40
8.60 	 20.10 	 58.58
8.62 	 18.90 	 58.00
8.65 	 20.50 	 58.12
8.68 	 18.70 	 58.00
8.70 	 20.20 	 58.70
8.72 	 20.00 	 58.82
