time [ms]	Pressure [Hgmm]	illuminance [lux]
4.75 	 0.20 	 0.44
4.78 	 0.20 	 0.54
4.80 	 0.20 	 0.59
4.83 	 0.20 	 0.61
4.85 	 -0.10 	 0.59
4.88 	 0.20 	 0.57
4.90 	 0.30 	 0.56
4.92 	 0.30 	 0.57
4.95 	 0.20 	 0.58
4.97 	 0.20 	 0.55
5.00 	 0.20 	 0.45
5.03 	 0.30 	 0.26
5.05 	 0.30 	 0.00
5.08 	 0.30 	 -0.28
5.10 	 -0.20 	 -0.56
5.12 	 4.10 	 -0.80
5.15 	 0.20 	 -0.96
5.17 	 4.40 	 -1.03
5.20 	 0.30 	 -1.00
5.22 	 4.30 	 -0.88
5.25 	 0.70 	 -0.71
5.28 	 4.20 	 -0.50
5.30 	 0.30 	 -0.31
5.33 	 4.00 	 -0.14
5.35 	 0.30 	 -0.00
5.38 	 4.30 	 0.11
5.40 	 0.20 	 0.21
5.42 	 4.10 	 0.28
5.45 	 0.50 	 0.31
5.47 	 4.30 	 0.29
5.50 	 0.80 	 0.21
5.53 	 4.20 	 0.06
5.55 	 0.60 	 -0.14
5.58 	 4.50 	 -0.35
5.60 	 0.90 	 -0.54
5.62 	 4.10 	 -0.65
5.65 	 0.80 	 -0.65
5.67 	 4.20 	 -0.57
5.70 	 0.90 	 -0.44
5.72 	 4.10 	 -0.32
5.75 	 0.90 	 -0.24
5.78 	 4.00 	 -0.22
5.80 	 2.10 	 -0.25
5.83 	 3.40 	 -0.28
5.85 	 3.30 	 -0.29
5.88 	 2.90 	 -0.27
5.90 	 2.90 	 -0.20
5.92 	 2.90 	 -0.09
5.95 	 3.00 	 0.05
5.97 	 2.90 	 0.19
6.00 	 3.00 	 0.30
6.03 	 3.20 	 0.37
6.05 	 3.40 	 0.37
6.08 	 3.60 	 0.30
6.10 	 3.60 	 0.17
6.12 	 3.90 	 -0.02
6.15 	 4.10 	 -0.24
6.17 	 4.30 	 -0.45
6.20 	 4.40 	 -0.63
6.22 	 4.20 	 -0.72
6.25 	 4.40 	 -0.69
6.28 	 4.50 	 -0.58
6.30 	 4.80 	 -0.41
6.33 	 5.30 	 -0.25
6.35 	 5.50 	 -0.12
6.38 	 5.90 	 -0.05
6.40 	 6.00 	 -0.01
6.42 	 6.60 	 0.02
6.45 	 6.70 	 0.04
6.47 	 7.10 	 0.09
6.50 	 7.50 	 0.17
6.53 	 7.90 	 0.30
6.55 	 8.50 	 0.44
6.58 	 7.80 	 0.58
6.60 	 9.50 	 0.65
6.62 	 7.90 	 0.63
6.65 	 11.10 	 0.52
6.67 	 9.00 	 0.35
6.70 	 12.30 	 0.19
6.72 	 9.70 	 0.09
6.75 	 10.30 	 0.09
6.78 	 10.10 	 0.18
6.80 	 10.50 	 0.35
6.83 	 11.00 	 0.56
6.85 	 10.60 	 0.75
6.88 	 10.50 	 0.85
6.90 	 12.00 	 0.83
6.92 	 10.30 	 0.69
6.95 	 14.20 	 0.48
6.97 	 10.20 	 0.27
7.00 	 14.60 	 0.10
7.03 	 10.50 	 0.01
7.05 	 14.40 	 0.01
7.08 	 10.30 	 0.07
7.10 	 14.90 	 0.17
7.12 	 11.20 	 0.27
7.15 	 15.00 	 0.36
7.17 	 11.70 	 0.40
7.20 	 15.50 	 0.36
7.22 	 12.60 	 0.25
7.25 	 12.80 	 0.08
7.28 	 13.00 	 -0.12
7.30 	 13.10 	 -0.31
7.33 	 13.00 	 -0.47
7.35 	 15.00 	 -0.57
7.38 	 13.10 	 -0.61
7.40 	 16.00 	 -0.59
7.42 	 12.60 	 -0.50
7.45 	 16.80 	 -0.40
7.47 	 12.80 	 -0.32
7.50 	 17.00 	 -0.30
7.53 	 12.80 	 -0.33
7.55 	 17.00 	 -0.41
7.58 	 13.30 	 -0.50
7.60 	 17.50 	 -0.55
7.62 	 14.10 	 -0.53
7.65 	 18.40 	 -0.42
7.67 	 14.70 	 -0.22
7.70 	 18.70 	 0.07
7.72 	 15.40 	 0.41
7.75 	 17.50 	 0.74
7.78 	 15.70 	 0.97
7.80 	 16.30 	 1.04
7.83 	 16.60 	 0.94
7.85 	 16.50 	 0.68
7.88 	 16.50 	 0.32
7.90 	 16.40 	 -0.08
7.92 	 16.40 	 -0.45
7.95 	 18.50 	 -0.74
