time [ms]	Pressure [Hgmm]	illuminance [lux]
0.00 	 -0.00 	 51.13
0.03 	 0.10 	 51.36
0.05 	 0.40 	 51.25
0.07 	 0.40 	 50.78
0.10 	 0.10 	 50.90
0.12 	 0.40 	 50.90
0.15 	 0.30 	 51.48
0.17 	 0.40 	 51.83
0.20 	 0.10 	 51.59
0.23 	 0.40 	 51.13
0.25 	 0.10 	 50.78
0.28 	 0.40 	 51.36
0.30 	 0.40 	 51.36
0.33 	 0.50 	 51.83
0.35 	 0.50 	 51.36
0.38 	 0.40 	 50.55
0.40 	 0.30 	 50.66
0.42 	 0.20 	 50.90
0.45 	 0.50 	 51.36
0.47 	 0.30 	 51.01
0.50 	 0.30 	 50.90
0.53 	 0.30 	 50.43
0.55 	 -0.00 	 50.20
0.57 	 0.00 	 50.08
0.60 	 0.20 	 51.13
0.62 	 -0.10 	 51.36
0.65 	 0.40 	 50.55
0.68 	 0.00 	 50.31
0.70 	 0.40 	 50.66
0.72 	 0.20 	 50.78
0.75 	 0.30 	 51.59
0.78 	 0.00 	 51.01
0.80 	 0.30 	 50.78
0.82 	 0.00 	 50.43
0.85 	 0.50 	 50.31
0.88 	 0.40 	 50.55
0.90 	 0.80 	 51.25
0.93 	 0.60 	 51.25
0.95 	 0.10 	 50.55
0.97 	 0.40 	 50.31
1.00 	 0.30 	 50.90
1.02 	 0.40 	 51.36
1.05 	 0.30 	 51.59
1.07 	 0.60 	 51.01
1.10 	 0.30 	 51.01
1.12 	 0.40 	 50.08
1.15 	 0.30 	 50.08
1.18 	 0.60 	 50.31
1.20 	 0.60 	 50.78
1.23 	 0.40 	 50.78
1.25 	 0.60 	 50.43
1.27 	 0.40 	 50.20
1.30 	 0.20 	 50.43
1.32 	 0.20 	 51.13
1.35 	 0.40 	 51.13
1.38 	 0.20 	 51.13
1.40 	 0.20 	 50.31
1.43 	 0.40 	 50.20
1.45 	 0.10 	 50.08
1.48 	 0.30 	 50.90
1.50 	 0.40 	 50.78
